Campaign ID,Timestamp,Date,InventoryType,Ad Type,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC
122865,2014-09-08-15,9/8/2014,Format1,Inter221,"5,166,528","3,169,942",3095684,7103,4156,33,2784.52,0.23%,$1.34,$0.59
122866,2014-09-07-23,9/7/2014,Format2,Inter225,"12,562,231","7,338,186",7014939,10825,8760.15,27,6394.91,0.15%,$1.25,$0.81
122867,2014-09-08-05,9/8/2014,Format1,Inter222,"635,730","358,349",350495,802,703.91,35,457.54,0.23%,$2.01,$0.88
122868,2014-09-08-12,9/8/2014,Format3,inter230,"2,045,830","903,790",843522,4134,1587.14,35,1031.64,0.49%,$1.88,$0.38
122869,2014-09-07-17,9/7/2014,Format1,Inter223,"6,221,592","3,957,769",3867403,8993,4572.88,33,3063.83,0.23%,$1.18,$0.51
122870,2014-09-08-14,9/8/2014,Format1,Inter224,"5,003,299","3,076,886",3006134,6582,4045.26,33,2710.32,0.22%,$1.35,$0.61
122871,2014-09-07-20,9/7/2014,Format1,Inter225,"7,274,417","3,594,072",3541584,8842,5161.69,30,3613.18,0.25%,$1.46,$0.58
122872,2014-09-07-20,9/7/2014,Format4,Inter217,"1,234,325","735,951",623793,91026,6517.67,30,4562.37,14.59%,$10.45,$0.07
122873,2014-09-08-10,9/8/2014,Format2,Inter226,"21,362,966","11,888,136",11499624,22277,21878.33,21,17283.88,0.19%,$1.90,$0.98
122874,2014-09-07-18,9/7/2014,Format4,Inter218,"1,099,364","690,485",582077,83814,6421.36,30,4494.95,14.40%,$11.03,$0.08
122875,2014-09-08-11,9/8/2014,Format3,Inter217,"1,939,658","883,966",825904,4212,1633.99,35,1062.09,0.51%,$1.98,$0.39
122876,2014-09-08-01,9/8/2014,Format2,Inter227,"4,315,196","2,872,434",2735354,3339,4347.48,33,2912.81,0.12%,$1.59,$1.30
122877,2014-09-08-09,9/8/2014,Format2,Inter228,"18,389,539","10,322,261",9971257,18942,19841.77,23,15278.17,0.19%,$1.99,$1.05
122878,2014-09-08-13,9/8/2014,Format2,Inter229,"26,809,686","13,862,435",13441890,24964,21654.73,21,17107.24,0.19%,$1.61,$0.87
122879,2014-09-08-07,9/8/2014,Format1,Inter226,"4,962,761","3,079,841",3004903,6466,5214.3,30,3650.01,0.22%,$1.74,$0.81
122880,2014-09-08-12,9/8/2014,Format1,Inter227,"5,199,999","3,240,600",3159879,6947,4295.34,33,2877.88,0.22%,$1.36,$0.62
122881,2014-09-08-06,9/8/2014,Format3,Inter218,"532,993","282,144",264823,1325,751.54,35,488.5,0.50%,$2.84,$0.57
122882,2014-09-07-20,9/7/2014,Format2,inter230,"22,400,355","12,536,388",12034272,22104,16996.57,23,13087.36,0.18%,$1.41,$0.77
122883,2014-09-07-19,9/7/2014,Format4,Inter219,"1,174,011","718,445",606137,86845,6380.95,30,4466.66,14.33%,$10.53,$0.07
122884,2014-09-07-21,9/7/2014,Format2,Inter217,"22,052,234","12,323,725",11828867,21015,15841.5,23,12197.95,0.18%,$1.34,$0.75
122885,2014-09-08-05,9/8/2014,Format2,Inter218,"2,173,936","1,351,027",1280518,1503,2388.33,35,1552.42,0.12%,$1.87,$1.59
122886,2014-09-08-08,9/8/2014,Format2,Inter219,"11,733,670","6,819,834",6572904,11908,13955.22,25,10466.41,0.18%,$2.12,$1.17
122887,2014-09-07-19,9/7/2014,Format3,Inter219,"2,762,321","1,236,003",1173441,6404,1868.27,35,1214.37,0.55%,$1.59,$0.29
122888,2014-09-08-07,9/8/2014,Format3,Inter220,"1,907,379","1,015,732",956458,5037,2343.84,35,1523.5,0.53%,$2.45,$0.47
122889,2014-09-07-20,9/7/2014,Format3,Inter221,"4,174,064","1,459,223",1331051,7792,1682.64,35,1093.71,0.59%,$1.26,$0.22
122890,2014-09-08-06,9/8/2014,Format1,Inter228,"3,305,530","1,937,659",1885638,4254,3099.89,33,2076.93,0.23%,$1.64,$0.73
122891,2014-09-07-18,9/7/2014,Format2,Inter220,"19,643,247","11,511,703",11034150,21876,16730.53,23,12882.51,0.20%,$1.52,$0.76
122892,2014-09-07-22,9/7/2014,Format1,Inter229,"6,260,100","3,200,821",3153802,7752,4053.65,33,2715.95,0.25%,$1.29,$0.52
122893,2014-09-08-08,9/8/2014,Format4,Inter220,"261,520","210,330",178925,28315,3664.14,33,2454.97,15.83%,$20.48,$0.13
122894,2014-09-07-17,9/7/2014,Format6,inter230,"414,121","200,583",172289,18253,1406.4,35,914.16,10.59%,$8.16,$0.08
122895,2014-09-08-14,9/8/2014,Format6,Inter217,"188,807","122,764",105050,11219,1159.61,35,753.75,10.68%,$11.04,$0.10
122896,2014-09-08-15,9/8/2014,Format6,Inter218,"1,299,364","639,771",608888,3595,1477.62,35,960.45,0.59%,$2.43,$0.41
122897,2014-09-08-00,9/8/2014,Format6,Inter219,"1,827,144","784,198",729818,2987,1136.17,35,738.51,0.41%,$1.56,$0.38
122898,2014-09-08-10,9/8/2014,Format1,inter230,"2,465,723","1,494,942",1468708,3700,2958.16,35,1922.8,0.25%,$2.01,$0.80
122899,2014-09-08-15,9/8/2014,Format2,Inter221,"25,832,132","13,479,977",13052128,25474,21507.45,21,16990.89,0.20%,$1.65,$0.84
122900,2014-09-08-11,9/8/2014,Format2,Inter222,"23,665,689","12,859,151",12437461,24380,22191.96,21,17531.64,0.20%,$1.78,$0.91
122901,2014-09-08-10,9/8/2014,Format3,Inter222,"1,001,797","532,475",506393,2934,1380.98,35,897.64,0.58%,$2.73,$0.47
122902,2014-09-08-04,9/8/2014,Format1,Inter217,"799,569","525,210",506167,1262,869.41,35,565.12,0.25%,$1.72,$0.69
